# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 1.789791292925916366e+01, 1.458424064845474533e+01, 7.309376927692389891e+00, 3.313672280804419668e+00, 3.248215357771390188e+01, 1.016879516292389418e+01
1.000000000000000056e-01, 2.317051283090151015e-01, 1.401628262492052857e-01, 6.335549114401078263e+00, 9.156752561707479088e-02, 3.718617443971491410e-01, 1.645613618523936450e-01
2.000000000000000111e-01, 1.798783281295472380e-01, 9.411516327117942782e-02, 6.770510891957570720e+00, 8.583042832880653783e-02, 2.739724280824210045e-01, 1.800493241484497631e-01
3.000000000000000444e-01, 1.046009730366357499e-01, 6.712154497312297630e-02, 7.380734755329299901e+00, 3.753508049631499449e-02, 1.717103620976761780e-01, 5.666568786964699955e-02
4.000000000000000222e-01, 2.031154831279270989e-01, 1.152623756020688950e-01, 8.185526791860139539e+00, 8.800428221333879419e-02, 3.183361049952740940e-01, 1.688570830467185924e-01
5.000000000000000000e-01, 8.983287176279586284e-02, 4.620181657085103977e-02, 9.137014050952162236e+00, 4.374237165581568859e-02, 1.359989350293583366e-01, 8.811219278549120570e-02
6.000000000000000888e-01, 1.164751825271095331e-01, 6.410055967299677082e-02, 9.875579425100452724e+00, 5.256475388795182890e-02, 1.805204875877773063e-01, 1.110113772427243073e-01
7.000000000000000666e-01, 9.255955096191711973e-02, 5.308605428111030228e-02, 1.149510488128487751e+01, 3.978211121457412430e-02, 1.455616120209192732e-01, 7.719572782407216338e-02
8.000000000000000444e-01, 9.565411795835840336e-02, 5.409815468840858260e-02, 1.437943996273785707e+01, 4.322270410753911718e-02, 1.492797343774336649e-01, 9.116440753444125800e-02
9.000000000000000222e-01, 6.231747184940928524e-02, 3.598582189237685414e-02, 2.364219848709092631e+01, 2.760590396862179843e-02, 9.795308783299647160e-02, 4.998374257971376772e-02
1.000000000000000000e+00, 1.475486533191096572e-01, 8.895140307963386728e-02, 2.461545743793395502e+02, 5.865044425949089701e-02, 2.364868702494934971e-01, 1.073187261273397530e-01
1.100000000000000089e+00, 1.301634956739376736e-01, 7.971983675137295222e-02, 3.042421859232774395e+01, 5.058232934633988265e-02, 2.098499557144289929e-01, 9.383931013528015730e-02
1.200000000000000178e+00, 4.268810906650383902e-02, 1.761129687894058549e-02, 1.706752831623038702e+01, 2.509727645560896891e-02, 6.029089136324444070e-02, 5.428953871758000066e-02
1.300000000000000044e+00, 1.020636787195529221e-01, 4.739337347393857841e-02, 1.311649635132329017e+01, 5.470497185372756588e-02, 1.494443668409738968e-01, 1.295547554144126645e-01
1.400000000000000133e+00, 6.765449921656059573e-02, 4.775598041577103214e-02, 1.114858299905886163e+01, 2.013699777368617438e-02, 1.153691084306920495e-01, 1.392014221638031291e-02
1.500000000000000000e+00, 5.546525096991642562e-02, 4.018001675370799775e-02, 9.951147403803329183e+00, 1.549055565486502292e-02, 9.561222886467783677e-02, 1.745303868131455050e-02
1.600000000000000089e+00, 6.166069835790641274e-02, 2.858515699274611493e-02, 8.801711499546094331e+00, 3.342421626629393794e-02, 9.011729918030950137e-02, 7.707319467419668224e-02
1.700000000000000178e+00, 1.246960040460044217e-01, 7.229869825814905226e-02, 7.672287481536437248e+00, 5.243157891889789479e-02, 1.969855830303311739e-01, 1.012577668434747752e-01
1.800000000000000044e+00, 1.243003793207811680e-01, 7.687678780771677045e-02, 6.693409547888066413e+00, 4.762120835111704337e-02, 2.011304803380759565e-01, 8.340458340606880794e-02
