# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 4.866466324910025121e-02, 1.061511951503650297e-01, 4.743099543776349236e+00, -5.748653190126477852e-02, 1.548158583994652671e-01, -3.713219853287544892e-01
1.428639459021858278e-03, 8.409053454403916938e-02, 1.164569063938514087e-01, 4.730216089982444139e+00, -3.236637184981223936e-02, 2.005474409378905642e-01, -1.613901015063866351e-01
2.857278918043716556e-03, 7.314071886175084469e-02, 1.148466389620923372e-01, 4.709119447634048328e+00, -4.170592010034149255e-02, 1.879873578238431819e-01, -2.218549193048542645e-01
4.285918377065574617e-03, 3.594355699476527860e-02, 1.013203932648408245e-01, 4.701872513207071336e+00, -6.537683627007553899e-02, 1.372639502596061101e-01, -4.762855516428669000e-01
5.714557836087433111e-03, 5.188519665014160176e-02, 1.026086070848304249e-01, 4.690277422139642383e+00, -5.072341043468882316e-02, 1.544938037349720128e-01, -3.283200310201619398e-01
7.143197295109291606e-03, 4.608823657849449307e-02, 1.066342753480130356e-01, 4.680775892859923459e+00, -6.054603876951854258e-02, 1.527225119265075426e-01, -3.964447546453023219e-01
8.571836754131149233e-03, 3.932511677972014980e-02, 1.066342753480130356e-01, 4.655170093116252517e+00, -6.730915856829289279e-02, 1.459593921277331785e-01, -4.611498964683872770e-01
1.000047621315300860e-02, 8.634490846419307086e-02, 1.206436018034084262e-01, 4.651305068819546307e+00, -3.429869333921535535e-02, 2.069885102676015110e-01, -1.657033682443188882e-01
1.142911567217486622e-02, 4.351180995241560323e-02, 1.130753448085756452e-01, 4.639548956595239915e+00, -6.956353485616004195e-02, 1.565871547609912484e-01, -4.442480289161598872e-01
1.285775513119672385e-02, 4.785952990974611659e-02, 1.071173555473177302e-01, 4.624571998985981480e+00, -5.925782563757161364e-02, 1.549768854570638399e-01, -3.823655731808400793e-01
1.428639459021858321e-02, 4.866466324910025121e-02, 1.053460614912978127e-01, 4.604441692431830546e+00, -5.668139824219756151e-02, 1.540107247403980639e-01, -3.680353971305586613e-01
1.571503404924044084e-02, 4.979184993152008937e-02, 1.092107030967993803e-01, 4.595745404533637668e+00, -5.941885316527929090e-02, 1.590025530283194766e-01, -3.736974786480087296e-01
1.714367350826229847e-02, 5.027492994088920975e-02, 1.109819972014822465e-01, 4.580285343894643368e+00, -6.070706726059303671e-02, 1.612569271423714423e-01, -3.764617640704243096e-01
1.857231296728415609e-02, 6.138577059164418426e-02, 1.261185113753580389e-01, 4.550331500861696021e+00, -6.473274078371385465e-02, 1.875042819670022232e-01, -3.452334000303299288e-01
2.000095242630601719e-02, 6.025858382080773179e-02, 1.167789598824309771e-01, 4.548560038033897079e+00, -5.652037606162324535e-02, 1.770375437032387089e-01, -3.192564406359263418e-01
2.142959188532787482e-02, 4.512207658850284769e-02, 1.077614624823022421e-01, 4.535032507412516622e+00, -6.263938589379938748e-02, 1.528835390708050967e-01, -4.097196223642438628e-01
2.285823134434973244e-02, 6.138577059164418426e-02, 1.069563288140320534e-01, 4.515546433113430069e+00, -4.557055822238786913e-02, 1.683420994056762376e-01, -2.707020904650265791e-01
2.428687080337159007e-02, 5.671599688294898245e-02, 1.093717298326656734e-01, 4.500891625805515162e+00, -5.265573294971669094e-02, 1.660877267156146697e-01, -3.170356653738597985e-01
2.571551026239344770e-02, 4.415591660476696906e-02, 1.132363715488781397e-01, 4.475769116705199835e+00, -6.908045494411116372e-02, 1.573922881536451157e-01, -4.389062244058321571e-01
