# t,V1,V2,Vm,V1-V2,V1+V2,Vdiv
1.600000000325962901e-02, 2.380530866097726184e-01, 1.971570934129963371e-01, 3.451189635813846746e+00, 4.089599319677628131e-02, 4.352101800227689554e-01, 9.396837453259186679e-02
1.250000000000000000e-01, 2.412076034541924541e-01, 1.953149463524187501e-01, 4.984570443341936219e+00, 4.589265710177370394e-02, 4.365225498066112042e-01, 1.051323857658788274e-01
2.350000000442378223e-01, 2.398565877998284912e-01, 1.962843279262263541e-01, 4.482550611147324560e+00, 4.357225987360213715e-02, 4.361409157260548453e-01, 9.990408673551366692e-02
3.290000000270083547e-01, 2.371320127693788971e-01, 1.980507923625546285e-01, 2.271688873595975267e+00, 3.908122040682426857e-02, 4.351828051319335255e-01, 8.980414654704955979e-02
4.380000000237487257e-01, 2.410578484399153731e-01, 1.960234644502618084e-01, -8.025495129917875614e-01, 4.503438398965356471e-02, 4.370813128901771538e-01, 1.030343386036480791e-01
5.320000000065192580e-01, 2.388340670372884056e-01, 1.953568133344882052e-01, -3.561484422001661709e+00, 4.347725370280020041e-02, 4.341908803717766108e-01, 1.001339633517238648e-01
6.250000000000000000e-01, 2.399145574705783823e-01, 1.956498821628382123e-01, -4.961500838667879165e+00, 4.426467530774017001e-02, 4.355644396334166224e-01, 1.016260081860552583e-01
7.350000000442378223e-01, 2.400498200713257479e-01, 1.964163699335753910e-01, -4.462701786989414110e+00, 4.363345013775035697e-02, 4.364661900049011667e-01, 9.996982844710236571e-02
8.290000000270083547e-01, 2.383815814452878712e-01, 1.956579335164218003e-01, -2.248727132441223464e+00, 4.272364792886607088e-02, 4.340395149617096715e-01, 9.843262296667870670e-02
9.380000000237487257e-01, 2.358405771376365645e-01, 1.940766499801801770e-01, 8.196194132194978277e-01, 4.176392715745638751e-02, 4.299172271178167692e-01, 9.714411175714804392e-02
1.032000000006519258e+00, 2.351481614972778245e-01, 1.953745262777101255e-01, 3.582788809403470331e+00, 3.977363521956769898e-02, 4.305226877749879222e-01, 9.238452780531587749e-02
1.125000000000000000e+00, 2.330870173513757970e-01, 1.931265916387389925e-01, 4.982214360096355321e+00, 3.996042571263680454e-02, 4.262136089901147895e-01, 9.375680379451142854e-02
1.235000000044237822e+00, 2.356682783428659111e-01, 1.966031610619643211e-01, 4.436690809094595345e+00, 3.906511728090159008e-02, 4.322714394048302600e-01, 9.037172877923212166e-02
1.329000000027008355e+00, 2.313575886046354280e-01, 1.961377934957631575e-01, 2.182474204288092245e+00, 3.521979510887227049e-02, 4.274953821003986132e-01, 8.238637558101338798e-02
1.438000000023748726e+00, 2.363848479833788596e-01, 1.948801738818303764e-01, -8.870093234619068623e-01, 4.150467410154848324e-02, 4.312650218652092082e-01, 9.623937021843766149e-02
1.532000000006519258e+00, 2.356747194223364483e-01, 1.966434177708755726e-01, -3.633401866679209835e+00, 3.903130165146087571e-02, 4.323181371932119932e-01, 9.028374776239603272e-02
1.641000000003259629e+00, 2.371400641276519838e-01, 1.969397071591071913e-01, -4.982085857508244509e+00, 4.020035696854479257e-02, 4.340797712867591751e-01, 9.261052835836451613e-02
1.735000000044237822e+00, 2.389258524648102400e-01, 1.956498821659064802e-01, -4.414793074895269065e+00, 4.327597029890375979e-02, 4.345757346307167479e-01, 9.958211388787679974e-02
1.829000000027008355e+00, 2.384137868245667369e-01, 1.927352964264415769e-01, -2.143526673924647685e+00, 4.567849039812515999e-02, 4.311490832510083138e-01, 1.059459295464438011e-01
1.938000000023748726e+00, 2.400272762839370244e-01, 1.972070117160437952e-01, 9.386995676300710079e-01, 4.282026456789322921e-02, 4.372342879999808196e-01, 9.793437006910836462e-02
2.032000000006519258e+00, 2.356054778396243776e-01, 1.960782135741762078e-01, 3.670091901980801374e+00, 3.952726426544816984e-02, 4.316836914138005854e-01, 9.156534066874992550e-02
2.141000000003259629e+00, 2.378856186191461997e-01, 1.982053781509432178e-01, 4.999676437711254806e+00, 3.968024046820298190e-02, 4.360909967700894452e-01, 9.099073533298077110e-02
2.235000000044237822e+00, 2.367487687838891186e-01, 1.975210140698024086e-01, 4.430989942447655316e+00, 3.922775471408671000e-02, 4.342697828536915550e-01, 9.033038047526970038e-02
2.329000000027008355e+00, 2.372946499372101947e-01, 1.992456115368927416e-01, 2.219075033857511592e+00, 3.804903840031745310e-02, 4.365402614741029641e-01, 8.716043343134949328e-02
2.438000000023748726e+00, 2.389999247093989865e-01, 1.967786803408499707e-01, -1.180344153174141208e+00, 4.222124436854901575e-02, 4.357786050502489572e-01, 9.688691431668736143e-02
2.532000000006519258e+00, 2.387181276550364717e-01, 1.968221575638788301e-01, -3.639082995106487139e+00, 4.189597009115764159e-02, 4.355402852189153018e-01, 9.619309972692767496e-02
2.641000000003259629e+00, 2.382736934263199602e-01, 1.976755998042656892e-01, -4.977010053975692294e+00, 4.059809362205427097e-02, 4.359492932305856217e-01, 9.312572414374994945e-02
2.750000000000000000e+00, 2.399097266734906975e-01, 1.957464982648348395e-01, -4.253706414796692314e+00, 4.416322840865585797e-02, 4.356562249383255647e-01, 1.013717373484285811e-01
2.844000000040978193e+00, 2.385699829582922371e-01, 1.947626243075172292e-01, -1.857113420965141870e+00, 4.380735865077500790e-02, 4.333326072658094663e-01, 1.010940739659206972e-01
