# freq,V1,V2,Vm,V1-V2,V1+V2,Vdiv
0.000000000000000000e+00, 6.279064791935575762e+00, 6.972753272491994281e+00, 1.024873201006230516e+01, 6.936884805564187406e-01, 1.325181806442757093e+01, 5.208081510127127167e+00
1.000000000000000056e-01, 2.932563111161878844e-02, 6.198833338680791172e-02, 1.101987747571004661e+01, 3.267141027273941928e-02, 9.131084920822887807e-02, 2.057427427094697114e-01
2.000000000000000111e-01, 1.065728567614002836e-02, 2.047724313425753478e-02, 1.171947389371866066e+01, 1.153734015664345004e-02, 3.053981386378466778e-02, 8.122352089137971354e-02
3.000000000000000444e-01, 1.948017264018096426e-02, 3.929435164528158331e-02, 1.359498483216479059e+01, 1.981924922096170091e-02, 5.877281476112924258e-02, 1.219616910357868844e-01
4.000000000000000222e-01, 3.360165153149298478e-02, 5.569452656597730783e-02, 1.422603795851836495e+01, 2.329010980287177235e-02, 8.899142281970022494e-02, 1.360379794348169358e-01
5.000000000000000000e-01, 3.866384327143553706e-02, 6.524973735210440329e-02, 1.578316195897609120e+01, 2.665260772386248908e-02, 1.038964893708703707e-01, 1.551504602076305694e-01
6.000000000000000888e-01, 1.578865114507516099e-02, 2.664525960935991422e-02, 1.581556543357130273e+01, 1.250482194068206626e-02, 4.197775789026814142e-02, 7.878039592560322213e-02
7.000000000000000666e-01, 2.024590075474129447e-02, 3.820986083481649892e-02, 1.664127974400898324e+01, 1.822258357455193781e-02, 5.837565736368379582e-02, 1.159708905671940904e-01
8.000000000000000444e-01, 1.062484718961627730e-02, 2.294362041791538076e-02, 1.599811407293201349e+01, 1.262193251381563130e-02, 3.345565738383914078e-02, 8.259519288945070536e-02
9.000000000000000222e-01, 7.233701014460496535e-03, 3.579902636331262246e-03, 2.128851466713386031e+01, 4.575181366340451243e-03, 1.045714980142917021e-02, 4.208298056512876223e-02
1.000000000000000000e+00, 1.389579272191582802e-02, 3.965664289456540675e-02, 2.404867157385944267e+02, 4.652880847722707519e-02, 3.696694122813781042e-02, 3.335919669896567630e-01
1.100000000000000089e+00, 2.007480986773896650e-02, 3.187930757115306490e-02, 3.579800357333225236e+01, 1.551184470375512915e-02, 5.097017911260145334e-02, 1.008315099779570345e-01
1.200000000000000178e+00, 9.686008439002104925e-03, 9.775311532707929921e-03, 2.139826215041615143e+01, 3.144115661381477640e-03, 1.920587115419852137e-02, 2.373170672545209942e-02
1.300000000000000044e+00, 3.350857325082539934e-03, 2.209726592774664822e-03, 1.532697492368340342e+01, 5.463557687423903353e-03, 1.540068262104233188e-03, 4.528599172647423260e-02
1.400000000000000133e+00, 7.066652482871096930e-03, 1.953511634738692646e-02, 1.146071464940172469e+01, 1.259434478849427719e-02, 2.654240334611302973e-02, 9.304389565400821016e-02
1.500000000000000000e+00, 1.068942187739884558e-02, 1.719815343403676561e-02, 8.521525550359045909e+00, 6.535370726674416368e-03, 2.788134452805872757e-02, 3.262160800213222828e-02
1.600000000000000089e+00, 7.123960925695041815e-03, 1.879359906528759588e-02, 6.112693704107534209e+00, 1.177204266453082786e-02, 2.587120758100945606e-02, 8.320685966526775168e-02
1.700000000000000178e+00, 1.366176069728824473e-02, 2.663255729231314012e-02, 3.812158248750850742e+00, 1.318531255017379826e-02, 4.022463373992181401e-02, 8.791928970385128050e-02
1.800000000000000044e+00, 9.485877731643489047e-03, 1.431941539228363119e-02, 2.661121711581644345e+00, 5.115499301471011263e-03, 2.374629937336689145e-02, 3.308015300847698403e-02
1.900000000000000133e+00, 1.034763196165211854e-02, 2.447429920968043765e-02, 1.322731697989789623e+00, 1.414888823609402463e-02, 3.481290823416031271e-02, 9.309802713221262960e-02
2.000000000000000000e+00, 1.647424157640854994e-02, 3.409132275858274552e-02, 3.664821753248543423e+00, 1.784236460887872466e-02, 5.048651177353531694e-02, 1.177196183212903674e-01
2.100000000000000089e+00, 1.776919922500852164e-02, 3.346974005990895062e-02, 2.484748636299394242e+00, 1.570084977798525891e-02, 5.123884461813106583e-02, 9.743155095004657484e-02
2.200000000000000178e+00, 1.392712423666641816e-02, 2.897384400702139942e-02, 2.430333667987857993e+00, 1.516264482081687397e-02, 4.286013362241485741e-02, 9.791923515089860641e-02
2.300000000000000266e+00, 9.215669665445042069e-03, 1.976350993298693279e-02, 2.046015342480759447e+00, 1.089801881784174808e-02, 2.884931490267532428e-02, 7.354937735632328943e-02
2.400000000000000355e+00, 1.468751214770518641e-02, 2.497778178541789490e-02, 1.898731710309879084e+00, 1.032595969439972262e-02, 3.965601780824083017e-02, 6.195838090048913505e-02
2.500000000000000000e+00, 1.144135022149007745e-02, 1.526610298760184593e-02, 1.369288015502585054e+00, 4.012209404498074880e-03, 2.667993565082486460e-02, 2.324455988874234852e-02
2.600000000000000089e+00, 4.245449622961389169e-03, 7.749344823689894961e-03, 1.332742059778658561e+00, 4.324613772307688009e-03, 1.172391108442364348e-02, 2.736381557119170818e-02
2.700000000000000178e+00, 6.746478335552258919e-03, 1.343349704169966193e-02, 1.006757155840949380e+00, 6.960210932886973061e-03, 2.008738632009101840e-02, 4.497786010716658261e-02
2.800000000000000266e+00, 1.788927791688321722e-02, 3.133862907901813211e-02, 1.127274309961423082e+00, 1.345025826923514078e-02, 4.922765915997251440e-02, 8.009705593591755213e-02
2.900000000000000355e+00, 1.795333286380521032e-02, 3.333104899295544210e-02, 4.302977289371009428e-01, 1.559907298372812876e-02, 5.121748625056769810e-02, 9.720649231902604714e-02
3.000000000000000000e+00, 2.446036491914714214e-02, 3.708292189581233883e-02, 1.510616609011645961e+00, 1.264592574260502839e-02, 6.153848924640678564e-02, 6.824757532045333530e-02
3.100000000000000089e+00, 3.765309969349176552e-03, 1.132149354692059059e-02, 1.447274866653955439e+00, 7.581971186868344433e-03, 1.507386027260384370e-02, 5.635323375218598274e-02
3.200000000000000178e+00, 1.610871866586451734e-02, 3.062214550543407993e-02, 9.248656842928166810e-01, 1.474081414664867376e-02, 4.665963590854360632e-02, 9.168488068007650538e-02
3.300000000000000266e+00, 1.052739451571580408e-02, 2.465630569055470012e-02, 1.210744455823930865e+00, 1.431949108795746786e-02, 3.510656727982820746e-02, 9.607338029168557836e-02
3.400000000000000355e+00, 8.441492315549749617e-03, 1.835859243709410740e-02, 1.066133125967301032e+00, 1.022240934227499308e-02, 2.668512253688557628e-02, 6.952576565323105584e-02
3.500000000000000000e+00, 1.103303328969041687e-02, 2.808143399759457232e-02, 9.479411243612301252e-01, 1.704850728753599595e-02, 3.911442083339838893e-02, 1.117739468866290609e-01
3.600000000000000089e+00, 1.025019066037219373e-02, 1.959381780888340766e-02, 6.501152727464731829e-01, 9.344617855636439679e-03, 2.984369827845578457e-02, 5.940756889984014771e-02
3.700000000000000178e+00, 1.424336564292913963e-02, 2.861842565656750118e-02, 7.776188518022955076e-01, 1.440486960134144782e-02, 4.285178217490689945e-02, 9.207052432680151721e-02
3.800000000000000266e+00, 1.975392973519841944e-02, 3.009060403837395675e-02, 9.371034761312876382e-01, 1.051239994409982996e-02, 4.980776877325481661e-02, 5.891848258358230173e-02
3.900000000000000355e+00, 1.576804721928546857e-02, 3.551082422291890889e-02, 5.659835793393772629e-01, 1.975852861742996916e-02, 5.127280416629786258e-02, 1.265100323182422049e-01
4.000000000000000000e+00, 9.740138847695388458e-03, 2.547565323424992242e-02, 6.514219181090911137e-01, 1.594850848127962392e-02, 3.511984484861554318e-02, 1.040651223114304746e-01
4.100000000000000533e+00, 1.093388076134822924e-02, 1.634202091587812905e-02, 1.051598933782513123e+00, 5.732907649552258962e-03, 2.720949397027562500e-02, 3.372067646471518798e-02
4.200000000000000178e+00, 1.297261666692895409e-02, 2.622016066042351032e-02, 4.430115044237710742e-01, 1.326143692317250516e-02, 3.918807863654096696e-02, 8.518510613447624613e-02
4.299999999999999822e+00, 1.926975204472725425e-02, 3.691229128755608296e-02, 6.548779882572310918e-01, 1.769466864509767687e-02, 5.616564684453948658e-02, 1.097185194014471815e-01
4.400000000000000355e+00, 5.899567448640220119e-03, 9.781426174447887742e-03, 6.593677631981863518e-01, 4.056500123689060072e-03, 1.563672583762234711e-02, 2.643937799725532001e-02
4.500000000000000000e+00, 5.284473101130463847e-03, 7.195932195719428881e-03, 7.732552218799844113e-01, 3.634986238881093065e-03, 1.209136333450773308e-02, 2.377609617339115911e-02
4.600000000000000533e+00, 7.954157980878281270e-03, 1.262864994078917620e-02, 5.899795200957924646e-01, 5.415609339526779135e-03, 2.040034393105083846e-02, 3.077408438598404350e-02
4.700000000000000178e+00, 4.999626769604958824e-03, 1.045585074928582874e-02, 5.252328866351158032e-01, 5.503331249703740519e-03, 1.543876648600581852e-02, 3.631301992049047744e-02
4.800000000000000711e+00, 1.058773500627003400e-02, 2.518825367233040388e-02, 5.971326089982349483e-01, 1.461119220848078673e-02, 3.577163084758876177e-02, 9.436222684924888693e-02
4.900000000000000355e+00, 6.737457251324325581e-03, 1.414421592653544030e-02, 1.024269119983599596e+00, 7.850674633238682171e-03, 2.071886233804302174e-02, 5.652538288318940951e-02
5.000000000000000000e+00, 7.911240953808906795e-03, 2.090126694823890574e-03, 4.483085753690030373e-02, 1.000136764863251981e-02, 5.821114258985460310e-03, 7.282967194006051415e-02
